,visits_pred,visits_truth,visits_error,zone,date,new_visits_pred,new_visits_truth,new_visits_error,recurrents_pred,recurrents_truth,recurrents_error,visitors_unique_pred,visitors_unique_truth,visitors_unique_error
100,27641.725697988513,29744.0,7.0678936996082795,zaragoza,2023-09-11,2869.874951096982,2802.0,2.422375128371946,19745.604372965667,19986.0,1.20282010924814,23062.99466538033,22788.0,1.206752086099398
101,28373.621085280975,29744.0,4.607244871970903,zaragoza,2023-09-11,2803.547518893382,2802.0,0.05522908256181114,19999.07693628965,19986.0,0.06543048278619981,22910.670003486357,22788.0,0.5383096519499606
102,26959.888679415188,30652.0,12.045254210442426,zaragoza,2023-09-12,2718.5897614883174,2407.0,12.945150041060135,19794.30830107438,20582.0,3.8270901706618434,21908.643284780024,22989.0,4.699450673017425
103,29510.924181872957,30652.0,3.722679819023369,zaragoza,2023-09-12,2638.876858957752,2407.0,9.633438261643212,21021.593361619933,20582.0,2.1358146031480554,22955.484342219814,22989.0,0.14578997685930795
104,31256.58324368415,30652.0,1.9724104256953816,zaragoza,2023-09-12,2554.816955931523,2407.0,6.141128206544366,20282.174605325094,20582.0,1.4567359570251017,23108.62296889739,22989.0,0.5203487272060151
105,29081.698900843097,30652.0,5.122997191559777,zaragoza,2023-09-12,2470.263581017556,2407.0,2.628316618926304,20887.573535551634,20582.0,1.4846639566205109,23695.688581053346,22989.0,3.0740292359534815
106,29499.277680090567,30652.0,3.7606757141766716,zaragoza,2023-09-12,2383.668578811184,2407.0,0.9693153796766085,21189.076776860275,20582.0,2.9495519233324,23188.35850500493,22989.0,0.8671908521681222
107,31946.66688875274,30652.0,4.223759913717673,zaragoza,2023-09-12,2295.653920861307,2407.0,4.625927675059945,21086.73479536395,20582.0,2.4523117061702018,23607.06674931335,22989.0,2.6885325560631235
100,12559.21598055694,15879.0,20.906757474923225,zona_delicias,2023-09-11,1204.0625560476433,1397.0,13.810840655143645,8552.101279182472,10882.0,21.410574534254067,9395.870751735547,12279.0,23.480163272778345
101,13060.804431207263,15879.0,17.74794110959592,zona_delicias,2023-09-11,1490.1841242467701,1397.0,6.670302379869014,9439.278482470709,10882.0,13.257870956894793,8806.93302346293,12279.0,28.276463690341796
102,13061.457794531523,17858.0,26.859347101962577,zona_delicias,2023-09-12,1477.4087616047877,1534.0,3.68912896970093,9694.012947875977,12042.0,19.498314666367904,9661.420446783093,13576.0,28.834557699004908
103,13364.80567663659,17858.0,25.160680498171185,zona_delicias,2023-09-12,1565.6216452057702,1534.0,2.0613849547438177,10090.329664527762,12042.0,16.207194282280664,9925.679149732308,13576.0,26.888043976632968
104,13741.400789947917,17858.0,23.051849087535466,zona_delicias,2023-09-12,1616.777894839595,1534.0,5.396212179895377,10294.481620830215,12042.0,14.511861643994234,9883.70150701858,13576.0,27.197248769751177
105,13681.163093328489,17858.0,23.389163997488584,zona_delicias,2023-09-12,1595.2412747672997,1534.0,3.992260415078209,11510.89660485731,12042.0,4.410425138205371,9681.101708007249,13576.0,28.689586711791037
106,13285.416270746127,17858.0,25.605239832309735,zona_delicias,2023-09-12,1558.4959313093443,1534.0,1.596866447806018,12715.510598922656,12042.0,5.593012779626772,10629.13650157017,13576.0,21.70641940505178
107,13498.708952580419,17858.0,24.410858144358727,zona_delicias,2023-09-12,1483.6005527717277,1534.0,3.2854919966279184,13121.55919976663,12042.0,8.964949342024834,10517.820741218833,13576.0,22.526364605046897
100,19366.310816275814,19974.0,3.0424010399728925,zona_casco,2023-09-11,2355.846640644996,2105.0,11.91670501876466,12614.660583502478,12660.0,0.3581312519551469,15175.22424524361,14765.0,2.77835587703088
101,19307.069843766003,19974.0,3.33899147008109,zona_casco,2023-09-11,2318.2373017301884,2105.0,10.130038086944817,12770.550867335925,12660.0,0.8732295998098376,15156.293014135226,14765.0,2.650138937590425
102,19704.602072531074,21059.0,6.43144464347275,zona_casco,2023-09-12,2175.6052703701653,1882.0,15.600705120625147,13013.970250731138,13382.0,2.7501849444691553,15279.270057663569,15264.0,0.10003968595105397
103,20270.011488261986,21059.0,3.7465620957216133,zona_casco,2023-09-12,2157.631694473005,1882.0,14.645679833847245,13112.153868537423,13382.0,2.0164858127527765,15292.196029140097,15264.0,0.18472241312956877
104,20329.951895389593,21059.0,3.4619312626924685,zona_casco,2023-09-12,2055.8672939243907,1882.0,9.23843219576996,13217.237848030905,13382.0,1.2312221788155335,15292.746814858647,15264.0,0.18833081013264386
105,19987.898639453742,21059.0,5.086192889245726,zona_casco,2023-09-12,1937.360933131677,1882.0,2.941601122830873,13323.262556758817,13382.0,0.43892873442821273,15292.770284267372,15264.0,0.1884845667411662
106,19910.846756343723,21059.0,5.4520786535746115,zona_casco,2023-09-12,1859.1079974214051,1882.0,1.2163657055576453,13431.324427828647,13382.0,0.36858786301485175,15292.771284317168,15264.0,0.1884911184300869
107,20265.664446931376,21059.0,3.767204297775887,zona_casco,2023-09-12,1708.0808715452213,1882.0,9.241186421614172,13541.221743169906,13382.0,1.1898202299350351,15292.77132693007,15264.0,0.18849139760265549
100,11624.940179524247,12318.0,5.626398932259729,mercado_delicias,2023-09-11,647.2995317207374,598.0,8.244068849621634,6902.945200348138,7658.0,9.859686597699943,7834.666031375235,8256.0,5.103366868032517
101,12771.68695873279,12318.0,3.683121925091648,mercado_delicias,2023-09-11,653.8595121862129,598.0,9.341055549533928,7491.56544968816,7658.0,2.173342260535913,8533.956123790846,8256.0,3.366716615683692
