timestamp,zone_id,visits,new_visits,recurrents,visitors_unique,visittime_avg,visit_time_zone_avg,visittime_avg_formated,visit_time_zone_avg_formated,presencetime_avg,presencetime_avg_formated,zone,ratio,year,month,month_name,day,dayofweek,date,hour
2023-08-01,25513,250232,30742,43727,74469,1272,331,00:21:12,00:05:31,331,00:05:31,zona_d,3.3602170030482483,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25513,93400,8877,23548,32425,1275,364,00:21:15,00:06:04,364,00:06:04,zona_d,2.8804934464148033,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25458,167167,22323,23341,45664,1053,238,00:17:33,00:03:58,238,00:03:58,zona_e,3.6608050105115626,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25458,159913,40325,2244,42569,1005,200,00:16:45,00:03:20,200,00:03:20,zona_e,3.756559937983039,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25458,36111,5300,6663,11963,1294,342,00:21:34,00:05:42,342,00:05:42,zona_e,3.018557218089108,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25459,183335,23048,32293,55341,846,195,00:14:06,00:03:15,195,00:03:15,zona_f,3.312824126777615,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25459,202959,33877,30618,64495,805,234,00:13:25,00:03:54,234,00:03:54,zona_f,3.1468951081479184,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25459,33098,4712,6004,10716,1158,397,00:19:18,00:06:37,397,00:06:37,zona_f,3.0886524822695036,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25462,125427,27805,1326,29131,1282,382,00:21:22,00:06:22,382,00:06:22,zona_g,4.305619443204833,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25462,121851,30726,3893,34619,1207,309,00:20:07,00:05:09,309,00:05:09,zona_g,3.51977237932927,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25462,54364,11499,6189,17688,1124,274,00:18:44,00:04:34,274,00:04:34,zona_g,3.073496155585708,2023,9,Septiembre,1,Viernes,2023-09-01,0
2023-07-01,25463,137996,22469,15999,38468,1209,354,00:20:09,00:05:54,354,00:05:54,zona_h,3.587293334719767,2023,7,Julio,1,Sábado,2023-07-01,0
2023-08-01,25463,131659,22729,16642,39371,990,311,00:16:30,00:05:11,311,00:05:11,zona_h,3.3440603489878336,2023,8,Agosto,1,Martes,2023-08-01,0
2023-09-01,25463,47812,6231,9074,15305,1064,368,00:17:44,00:06:08,368,00:06:08,zona_h,3.1239464227376676,2023,9,Septiembre,1,Viernes,2023-09-01,0
